photo_id,tag_id,id,tag_name,created_at,user_id,photo_id,created_at,id,comment_text,user_id,photo_id,created_at,follower_id,followee_id,created_at,id,image_url,user_id,created_dat,id,username,created_at
14,1,13,fun,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",76,Janelle.Nikolaus81,"2016-07-21 09:26:09"
14,1,14,style,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",76,Janelle.Nikolaus81,"2016-07-21 09:26:09"
14,1,15,hair,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",76,Janelle.Nikolaus81,"2016-07-21 09:26:09"
14,1,16,fashion,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",76,Janelle.Nikolaus81,"2016-07-21 09:26:09"
14,1,17,party,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",76,Janelle.Nikolaus81,"2016-07-21 09:26:09"
14,1,18,concert,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",76,Janelle.Nikolaus81,"2016-07-21 09:26:09"
14,1,19,drunk,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",76,Janelle.Nikolaus81,"2016-07-21 09:26:09"
14,1,20,beach,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",76,Janelle.Nikolaus81,"2016-07-21 09:26:09"
14,1,21,smile,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",76,Janelle.Nikolaus81,"2016-07-21 09:26:09"
14,1,1,sunset,"2023-03-21 21:15:20",2,1,"2023-03-21 21:15:16",1,"unde at dolorem",2,1,"2023-03-21 21:15:10",2,1,"2023-03-21 21:15:04",1,http://elijah.biz,1,"2023-03-21 21:14:59",75,Leslie67,"2016-09-21 05:14:01"
